"spell","level","school","classes","cast_time","duration","range_area","attack_save","damage_effect","description","source_url"
"Lesser Restoration","2","Abjuration","Bard; Cleric; Druid; Paladin; Ranger","Action","-","Range 1.5 m / 5 ft","-","-","Cure a creature from Diseased, Poisoned, Paralysis, or Blinded.","https://bg3.wiki/wiki/Lesser_Restoration"
"Magic Weapon","2","Transmutation","Paladin; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Infuse a weapon with arcane energy. The weapon becomes magical, receiving a +1 bonus to Attack Roll Attack Rolls and Damage Rolls.","https://bg3.wiki/wiki/Magic_Weapon"
"Melf's Acid Arrow","2","Evocation","Eldritch Knight; Wizard","Action","Duration 1 turn","Range 18 m / 60 ft","Attack Roll","4d4 Acid 2d4 Acid","Shoot a green arrow that bursts in a spray of acid. Deals 4d4 Acid damage immediately and 2d4 Acid damage at the end of the target's next turn. If the spell misses, the target still takes half the initial damage, but no damage at the end of its next turn.","https://bg3.wiki/wiki/Melf%27s_Acid_Arrow"
"Mirror Image","2","Illusion","Arcane Trickster; Sorcerer; Warlock; Wizard","Action","Duration 10 turns","Range Self","-","-","Create 3 illusory duplicates of yourself to distract attackers. Each duplicate increases your Armour Class by 3. Whenever you successfully evade an attack, one of the duplicates disappears.","https://bg3.wiki/wiki/Mirror_Image"
"Misty Step","2","Conjuration","Sorcerer; Warlock; Wizard","Bonus Action","-","Range 18 m / 60ft","-","-","Surrounded by silver mist, you teleport to an unoccupied space you can see.","https://bg3.wiki/wiki/Misty_Step"
"Moonbeam","2","Evocation","Druid","Action","-","Range 18 m / 60 ft Aoe 1m / 3ft (Radius)","CON Save","2d10 Radiant","Call down a beam of light that damages any creatures that enters the beam or starts its turn in the light. You can use an Action to move the beam 18 m (60 ft).","https://bg3.wiki/wiki/Moonbeam"
"Pass Without Trace","2","Abjuration","Druid; Ranger","Action","Duration Long Rest","Range Self Aoe 9m / 30ft (Radius)","-","-","Call forth a veil of shadow and silence that gives you and nearby allies a +10 bonus to Stealth Check Stealth Checks.","https://bg3.wiki/wiki/Pass_Without_Trace"
"Phantasmal Force","2","Illusion","Arcane Trickster; Bard; Sorcerer; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","INT Save","-","Deal damage to a creature each turn. At the start of its turn, it takes Psychic damage. Each subsequent time it takes damage, the damage type of Phantasmal Force changes to match that damage type.","https://bg3.wiki/wiki/Phantasmal_Force"
"Prayer of Healing","2","Evocation","Cleric","Action","-","Range Self Aoe 9m / 30ft (Radius)","-","2d8 + Spellcasting modifier Healing","Heal all allies you can see within range. Prerequisite Can only be used outside of combat. Prerequisite No effect on undead and constructs.","https://bg3.wiki/wiki/Prayer_of_Healing"
"Protection from Poison","2","Abjuration","Cleric; Druid; Paladin; Ranger","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Touch a creature to neutralise all poisons affecting it, and grant it protection against poisonous influences. Grants Advantage on Saving Throw Saving Throws against being Poisoned, and Resistance to Poison damage.","https://bg3.wiki/wiki/Protection_from_Poison"
"Ray of Enfeeblement","2","Necromancy","Warlock; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","Attack Roll","-","Weaken a foe: they deal half damage with weapon attacks using Strength.","https://bg3.wiki/wiki/Ray_of_Enfeeblement"
"Scorching Ray","2","Evocation","Eldritch Knight; Sorcerer; Wizard","Action","-","Range 18 m / 60 ft","Attack Roll","2d6 Fire 2d6 Fire 2d6 Fire","Hurl 3 rays of fire. Each ray deals 2d6 Fire damage.","https://bg3.wiki/wiki/Scorching_Ray"
"See Invisibility","2","Divination","Bard; Sorcerer; Wizard","Action","Duration Long Rest","Range Self Aoe 9m / 30ft (Radius)","DEX Save","-","Become able to see Invisible creatures, and possibly reveal them to others.","https://bg3.wiki/wiki/See_Invisibility_(spell)"
"Shadow Blade","2","Illusion","Sorcerer; Warlock; Wizard","Bonus Action","-","Range Self","-","2d8 + Strength or Dexterity modifier Psychic","Weave a shadowy shortsword in your hand that deals 2d8 Psychic damage. When you use the sword to attack a target that is in dim light or darkness, you make the Attack Roll with Advantage. The shadow blade can be unequipped and equipped again, but must remain on the spellcaster's person. [ See: Bugs ]","https://bg3.wiki/wiki/Shadow_Blade"
"Shatter","2","Evocation","Bard; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","-","Range 18 m / 60 ft Aoe 3m / 10ft (Radius)","CON Save","3d8 Thunder","Damages all nearby creatures and objects. Creatures made of inorganic material such as stone have Disadvantage on their Saving Throw.","https://bg3.wiki/wiki/Shatter"
"Silence","2","Illusion","Bard; Cleric; Ranger","Action","-","Range 18 m / 60ft","-","-","Create a sound-proof sphere. All within are Silenced and Immune to Thunder damage. Prerequisite Using this spell might turn targets hostile.","https://bg3.wiki/wiki/Silence"
"Spike Growth","2","Transmutation","Druid; Ranger","Action","-","Range 18 m / 60 ft","-","2d4 Piercing","Shape a piece of ground into hard spikes. A creature walking on the spikes takes 2d4 Piercing damage for every 1.5 m (5 ft) it moves. The spikes are Difficult Terrain, halving a creature's Movement Speed.","https://bg3.wiki/wiki/Spike_Growth"
"Spiritual Weapon","2","Evocation","Cleric","Bonus Action","-","Range 18 m / 60 ft","-","1d8 + 1 + Spellcasting modifier Force","Summon a floating, spectral weapon that attacks your enemies alongside you.","https://bg3.wiki/wiki/Spiritual_Weapon"
"Warding Bond","2","Abjuration","Cleric","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Ward an ally. They gain resistance to all damage, and a +1 bonus to their Armour Class and Saving Throw Saving Throws.","https://bg3.wiki/wiki/Warding_Bond"
"Web","2","Conjuration","Sorcerer; Wizard","Action","-","Range 18 m / 60 ft Aoe 4m / 13ft (Radius)","DEX Save","-","Cover an area in thick, flammable webbing that can Enweb creatures within. An ally can use its Help action to try and tear away the webs.","https://bg3.wiki/wiki/Web"
"Animate Dead","3","Necromancy","Cleric; Wizard","Action","-","Range 3 m / 10ft","-","-","Animate a corpse to create an undead servant while not in combat. Prerequisite The target must be a Medium or Small corpse.","https://bg3.wiki/wiki/Animate_Dead"
"Beacon of Hope","3","Abjuration","Cleric","Action","Duration 10 turns","Range Self Aoe 9m / 30ft (Radius)","-","-","Your allies will regain the maximum Hit Points possible when healed. They also gain Advantage on Wisdom Saving Throw Saving Throws and Death Saving Throws.","https://bg3.wiki/wiki/Beacon_of_Hope"
"Bestow Curse","3","Necromancy","Bard; Cleric; Wizard","Action","-","Range 1.5 m / 5 ft","WIS Save","-","Curse a creature with your touch. The curse either bestows Disadvantage on Ability Check Ability Checks and Saving Throw Saving Throws, Disadvantage on Attack Roll Attack Rolls, lets you deal additional damage to the target, or robs it of its Actions. The effect of the curse is based on the variant selected and lasts for 10 turns.","https://bg3.wiki/wiki/Bestow_Curse"
"Blinding Smite","3","Evocation","Paladin","Action","Duration 10 turns","Range Weapon Range","Attack Roll CON Save","Normal weapon damage 3d8 Radiant","Evoke a heavenly flare and possibly Blind your target","https://bg3.wiki/wiki/Blinding_Smite"
"Blink","3","Transmutation","Sorcerer; Wizard","Action","Duration 10 turns","Range Self","-","-","At the end of your turn, roll a d20. On 11 or higher, you vanish into the Ethereal Plane. While there, you can't be harmed or seen in this world. When you do vanish, your presence here is a representation of the location you'll come back to. You can choose to teleport it up to 6 m (20 ft). Warning Available only in combat.","https://bg3.wiki/wiki/Blink"
"Call Lightning","3","Conjuration","Druid","Action","Duration 10 turns","Range 18 m / 60ft Aoe 2m / 7ft (Radius)","DEX Save","3d10 Lightning","Lightning strikes all targets within the area of effect for 3d10 Lightning damage. Then for 10 turns, you can call down lightning again without expending a spell slot.","https://bg3.wiki/wiki/Call_Lightning"
"Conjure Barrage","3","Conjuration","Ranger","Action","-","Range Self Aoe 9m / 30ft (Cone)","DEX Save","Normal weapon damage 2d8 Weapon","Channel your weapon's essence into a destructive, widespread volley.","https://bg3.wiki/wiki/Conjure_Barrage"
"Counterspell","3","Abjuration","Sorcerer; Warlock; Wizard","Reaction","-","-","-","-","Try to stop a spell being cast. If it is higher level than the spell slot you used to Counterspell, you must make a check using your spellcasting ability [ See: Bugs ] to prevent it. The check's difficulty is equal to 10 plus the level of the spell you are trying to counter. This spell can be cast while you are Silenced.","https://bg3.wiki/wiki/Counterspell"
"Crusader's Mantle","3","Evocation","Paladin","Action","Duration 10 turns","Range Self Aoe 9m / 30ft (Radius)","-","1d4 Radiant","Radiate a holy power that emboldens you and nearby allies. Their weapon attacks deal an additional 1d4 Radiant damage.","https://bg3.wiki/wiki/Crusader%27s_Mantle"
"Daylight","3","Evocation","Cleric; Druid; Paladin; Ranger; Sorcerer","Action","Duration Long Rest","Range 18 m / 60 ft","-","-","Enchant an item to shine like the sun or summon a sphere of sunlight that dispels all darkness around it. Items can only be enchanted with Daylight for 20 turns. [ See: Bugs ]","https://bg3.wiki/wiki/Daylight"
"Elemental Weapon","3","Transmutation","Paladin","Action","-","Range 18 m / 60 ft","-","-","Imbue a weapon with elemental power. It receives a +1 bonus to Attack Roll Attack Rolls and deals an additional 1d4 damage of your choice.","https://bg3.wiki/wiki/Elemental_Weapon"
"Fear","3","Illusion","Bard; Sorcerer; Warlock; Wizard","Action","Duration 2 turns","Range Self Aoe 9m / 30ft (Cone)","WIS Save","-","Hostile targets drop everything and become Fearful: they have Disadvantage on Ability Checks and Attack Rolls. If the target ends their turn where they can't see you, they can make another Saving Throw to shake off their fear.","https://bg3.wiki/wiki/Fear"
"Feign Death","3","Necromancy","Bard; Cleric; Druid; Wizard","Action","Duration 10 turns","Range 1.5 m / 5ft","-","-","Put an ally in a protective coma. They become Resistant to all damage except Psychic. Disease and poison no longer have any effect. Removed when Helped.","https://bg3.wiki/wiki/Feign_Death"
"Fireball","3","Evocation","Sorcerer; Wizard","Action","-","Range 18 m / 60ft Aoe 4m / 13ft (Radius)","DEX Save","8d6 Fire","Shoot a bright flame from your fingers that explodes upon contact, torching everything in the vicinity for 8d6 Fire damage.","https://bg3.wiki/wiki/Fireball"
"Gaseous Form","3","Transmutation","Sorcerer; Warlock; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Transform yourself or an ally into a tiny gas cloud. It can't fall, and fits through small openings. It is very hard to damage. The cloud has Advantage on Constitution, Dexterity, and Strength Saving Throw Saving Throws. Prerequisite While transformed, the target won't be able to attack, cast spells, or talk.","https://bg3.wiki/wiki/Gaseous_Form"
"Glyph of Warding","3","Abjuration","Bard; Cleric; Wizard","Action","-","Range 9 m / 30ft Aoe 4m / 13ft (Radius)","DEX Save","-","Inscribe a circle of arcane glyphs on the ground. When stepped on by an enemy the selected magical effect will trigger. The glyph will last until triggered, or until a Long Rest. Prerequisite Only one glyph can be active at a time.","https://bg3.wiki/wiki/Glyph_of_Warding"
"Grant Flight","3","Transmutation","Sorcerer; Warlock; Wizard","Action","Duration 10 turns","Range 1.5 m / 5 ft","-","-","Bestow the ability to Fly upon yourself or an ally.","https://bg3.wiki/wiki/Grant_Flight"
"Haste","3","Transmutation","Sorcerer; Wizard","Action","Duration 10 turns","Range 9 m / 30ft","-","-","Target yourself or an ally to become Hastened. The creature has a +2 bonus to Armour Class, Advantage on Dexterity Saving Throw Saving Throws, its Movement Speed is doubled, and can take one additional Action per turn. Prerequisite When the condition ends, the creature becomes Lethargic.","https://bg3.wiki/wiki/Haste"
"Hunger of Hadar","3","Conjuration","Warlock","Action","-","Range 18 m / 60 ft Aoe 6m / 20ft (Radius)","DEX Save","2d6 Cold 2d6 Acid","Creatures within this black sphere are Blinded and take damage at the end of their turn and the start of their turn. Creatures starting their turn in the area take 2d6 Cold damage. Creatures ending their turn in the area possibly take 2d6 Acid damage. The area is Difficult Terrain.","https://bg3.wiki/wiki/Hunger_of_Hadar"
"Hypnotic Pattern","3","Illusion","Bard; Sorcerer; Warlock; Wizard","Action","Duration 2 turns","Range 18 m / 60 ft Aoe 9m / 30ft (Radius)","WIS Save","-","Hypnotise creatures that can see the pattern. They cannot attack you. They cannot move nor act. This spell can be cast while you are Silenced.","https://bg3.wiki/wiki/Hypnotic_Pattern"
"Lightning Arrow","3","Transmutation","Ranger","Action","-","Range 18 m / 60 ft Aoe 3m / 10ft (Radius)","Attack Roll DEX Save","4d8 Lightning 2d8 Lightning","After the arrow hits, smaller bolts snake out from the target towards nearby creatures.","https://bg3.wiki/wiki/Lightning_Arrow"
"Lightning Bolt","3","Evocation","Sorcerer; Wizard","Action","-","Range Self Aoe 30m / 100ft","DEX Save","8d6 Lightning","Call forth a blast of lightning that hits all creatures in the line of the eruption.","https://bg3.wiki/wiki/Lightning_Bolt"
"Mass Healing Word","3","Evocation","Cleric","Bonus Action","-","Range Self Aoe 18m / 60ft (Radius)","-","1d4 + Spellcasting modifier Healing","Heal your nearby allies. Prerequisite No effect on undead and constructs.","https://bg3.wiki/wiki/Mass_Healing_Word"
"Plant Growth","3","Transmutation","Bard; Druid; Ranger","Action","-","Range 18 m / 60 ft","-","-","Make weeds burst from the ground and smother the area. Creatures moving through the weeds have their Movement Speed quartered.","https://bg3.wiki/wiki/Plant_Growth"
"Protection from Energy","3","Abjuration","Cleric; Druid; Ranger; Sorcerer; Wizard","Action","-","Range 1.5 m / 5 ft","-","-","Touch a creature to grant it Resistance to Acid, Cold, Fire, Lightning, or Thunder damage.","https://bg3.wiki/wiki/Protection_from_Energy"
"Remove Curse","3","Abjuration","Cleric; Paladin; Warlock; Wizard","Action","-","Range 1.5 m / 5 ft","-","-","Touch a creature or object to remove all Curses and Hexes affecting it.","https://bg3.wiki/wiki/Remove_Curse"
"Revivify","3","Necromancy","Cleric; Paladin","Action","-","Range 9 m / 30ft Aoe 9m / 30ft (Radius)","-","-","Revive a companion. They return to life with 1 hit point.","https://bg3.wiki/wiki/Revivify"
"Sleet Storm","3","Conjuration","Druid; Sorcerer; Wizard","Action","-","Range 18 m / 60ft","CON Save","-","Call forth a storm that douses fire, creates an Ice surface, and forces spellcasters to succeed at a Concentration Saving Throw in order to maintain Concentration. Ice is a surface that is considered Difficult Terrain. Creatures moving through it have their Movement Speed halved, and will fall Prone on a failed Dexterity Saving Throw.","https://bg3.wiki/wiki/Sleet_Storm"
"Slow","3","Transmutation","Sorcerer; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","WIS Save","-","Alter time around up to 6 enemies to Slow them. They won't get far, they can't do much, and they're easier to hit.","https://bg3.wiki/wiki/Slow"
"Speak with Dead","3","Necromancy","Bard; Cleric","Action","Duration Long Rest","Range 9 m / 30ft","-","-","Grant a semblance of life to a corpse, allowing it to answer questions. Skeletons and creatures killed with Acid, Fire, Lightning, Necrotic, Radiant damage no longer have a mouth and can't be made to talk using this spell. Doesn't work on Undead.","https://bg3.wiki/wiki/Speak_with_Dead"
"Spirit Guardians","3","Conjuration","Cleric","Action","-","Range Self Aoe 3m / 10ft (Radius)","WIS Save","-","Call forth spirits to protect you. Nearby enemies take 3d8 Radiant or 3d8 Necrotic damage per turn, and their Movement Speed is halved. Prerequisite Caster can't become Invisible while Concentrating on this spell.","https://bg3.wiki/wiki/Spirit_Guardians"
"Stinking Cloud","3","Conjuration","Bard; Sorcerer; Wizard","Action","-","Range 18 m / 60 ft","CON Save","-","Create a cloud of gas so nauseating it prevents creatures from taking actions.","https://bg3.wiki/wiki/Stinking_Cloud"
"Vampiric Touch","3","Necromancy","Warlock; Wizard","Action","Duration 10 turns","Range 1.5 m / 5 ft","Attack Roll","3d6 Necrotic","Touch an enemy to siphon their life force and regain half as many Hit Points. For 10 turns, you can use Vampiric Touch again without expending an additional Spell Slot.","https://bg3.wiki/wiki/Vampiric_Touch"
"Warden of Vitality","3","Evocation","Paladin","Action","Duration 10 turns","Range Self","-","-","While this aura lasts, you can cast Restore Vitality as a Bonus Action to heal yourself or nearby allies by 2d6 Hit Points.","https://bg3.wiki/wiki/Warden_of_Vitality"
"Banishment","4","Abjuration","Cleric; Sorcerer; Warlock; Wizard","Action","Duration 2 turns","Range 18 m / 60 ft","CHA Save","-","Temporarily Banish your target to another plane of existence.","https://bg3.wiki/wiki/Banishment"
"Blight","4","Necromancy","Druid; Sorcerer; Warlock; Wizard","Action","-","Range 9 m / 30ft","CON Save","8d8 Necrotic","Deals 8d8 Necrotic damage to a target. Plants take maximum damage from this spell, and have Disadvantage on the Saving Throw against it. Prerequisite No effect on undead and constructs.","https://bg3.wiki/wiki/Blight"
"Confusion","4","Enchantment","Bard; Druid; Sorcerer; Wizard","Action","Duration 3 turns","Range 18 m / 60 ft Aoe 6m / 20ft (Radius)","WIS Save","-","Befuddle a group of creatures, causing them to attack at random, wander around aimlessly, and occasionally skip turns in the stupor.","https://bg3.wiki/wiki/Confusion"
"Conjure Minor Elemental","4","Conjuration","Druid; Wizard","Action","-","Range 18 m / 60ft","-","-","Conjure a minor elemental to fight alongside you.","https://bg3.wiki/wiki/Conjure_Minor_Elemental"
"Conjure Woodland Being","4","Conjuration","Druid","Action","-","Range 18 m / 60 ft","-","-","Conjure a dryad to fight alongside you. She can use Nature's Step, Entangle enemies, and Summon a wood woad.","https://bg3.wiki/wiki/Conjure_Woodland_Being"
"Death Ward","4","Abjuration","Cleric","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Protect a creature from death. The next time damage would reduce it to 0 Hit Points, it remains conscious with 1 Hit Point left.","https://bg3.wiki/wiki/Death_Ward"
"Dimension Door","4","Conjuration","Bard; Sorcerer; Warlock; Wizard","Action","-","Range 50 m / 167ft","-","-","Teleport yourself and up to one adjacent ally to a place you can see. The ally cannot be larger than Medium.","https://bg3.wiki/wiki/Dimension_Door"
"Dominate Beast","4","Enchantment","Druid; Sorcerer","Action","Duration 10 turns","Range 18 m / 60ft","WIS Save","-","Make a beast fight alongside you. Every time the Beast takes damage, it makes a Wisdom Saving Throw against your domination.","https://bg3.wiki/wiki/Dominate_Beast"
"Evard's Black Tentacles","4","Conjuration","Wizard","Action","-","Range 18 m / 60ft Aoe 6m / 20ft (Radius)","STR Save","3d6 Bludgeoning","Tentacles sprout from the ground, turning the area into Difficult Terrain, attacking and Smothering creatures within.","https://bg3.wiki/wiki/Evard%27s_Black_Tentacles"
"Fire Shield","4","Evocation","Wizard","Action","-","Range Self","-","-","Wreathe your body in flames that shed light in a 3 m (10 ft) radius, provide Resistance to Fire or Cold damage, and retaliate against melee attacks.","https://bg3.wiki/wiki/Fire_Shield"
"Freedom of Movement","4","Abjuration","Bard; Cleric; Druid","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Snap an ally out of any Stun. Difficult Terrain can't slow them down, and they can't be magically Paralysed or Restrained. If the target is restrained by non-magical means, it can spend 1.5 m (5 ft) of Movement to free itself.","https://bg3.wiki/wiki/Freedom_of_Movement"
"Grasping Vine","4","Conjuration","Druid","Bonus Action","-","Range 9 m / 30ft","-","-","Summon a giant vine capable of dragging creatures toward itself.","https://bg3.wiki/wiki/Grasping_Vine"
"Greater Invisibility","4","Illusion","Bard; Sorcerer; Wizard","Action","Duration 10 turns","Range 1.5 m / 5ft","-","-","Turn a creature Invisible. Attacks against it have Disadvantage. It attacks with Advantage. Invisibility breaks when you fail increasingly harder Stealth Check Stealth Checks on attacking, casting spells, or interacting with items.","https://bg3.wiki/wiki/Greater_Invisibility"
"Guardian of Faith","4","Conjuration","Cleric","Action","-","Range 9 m / 30ft","-","-","Call forth a divine guardian that attacks nearby enemies. Every time it deals damage, the guardian loses an equal amount of Hit Points.","https://bg3.wiki/wiki/Guardian_of_Faith"
"Ice Storm","4","Evocation","Druid; Sorcerer; Wizard","Action","-","Range 18 m / 60ft Aoe 6m / 20ft (Radius)","DEX Save","2d8 Bludgeoning 4d6 Cold","Impel a storm of hail and ice to crash from the sky, covering the ground and striking all objects and creatures within range, dealing Bludgeoning and Cold damage. It also creates an Ice surface that lasts 2 turns.","https://bg3.wiki/wiki/Ice_Storm"
"Otiluke's Resilient Sphere","4","Evocation","Wizard","Action","Duration 3 turns","Range 9 m / 30ft","-","-","Enclose a target in a sphere of shimmering force, reducing its movement speed by half, and blocking all incoming and spell effects. The sphere reduces the target's movement speed by half, and also prevents it from casting spells or dealing damage. Prerequisite The target can't be Huge in size.","https://bg3.wiki/wiki/Otiluke%27s_Resilient_Sphere"
"Phantasmal Killer","4","Illusion","Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","WIS Save","4d10 Psychic","Haunt a creature with illusions of its greatest fears. It takes 4d10 Psychic Damage per turn, cannot move, has Disadvantage on Ability Checks and Attack Rolls","https://bg3.wiki/wiki/Phantasmal_Killer"
"Polymorph","4","Transmutation","Bard; Druid; Sorcerer; Wizard","Action","Duration 5 turns","Range 18 m / 60ft","WIS Save","-","Transform a creature into a harmless sheep. If the sheep's Hit Points drop to 0, the target reverts to its original form with its original Hit Points.","https://bg3.wiki/wiki/Polymorph"
"Stoneskin","4","Abjuration","Druid; Sorcerer; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Turn a creature's flesh hard as stone. It takes only half the damage of all non-magical Bludgeoning, Piercing, and Slashing damage.","https://bg3.wiki/wiki/Stoneskin"
"Wall of Fire","4","Evocation","Druid; Sorcerer; Wizard","Action","-","Range 18 m / 60ft","DEX Save","5d8 Fire","Create a blazing wall of fire, Burning anyone who dares stand too close. Deals Fire to anything that moves into or ends its turn in the area.","https://bg3.wiki/wiki/Wall_of_Fire"
"Cloudkill","5","Conjuration","Sorcerer; Wizard","Action","-","Range 18 m / 60ft","-","5d8 Poison","Craft a large cloud that inflicts 5d8 Poison damage per turn. You can reposition the cloud every turn. The cloud Heavily Obscures everything within it.","https://bg3.wiki/wiki/Cloudkill"
"Cone of Cold","5","Evocation","Sorcerer; Wizard","Action","-","Range Self Aoe 9m / 30ft (Cone)","CON Save","8d8 Cold","Make a flurry of frost, crisp air, and condensed snow crystals erupt from your hands.","https://bg3.wiki/wiki/Cone_of_Cold"
"Conjure Elemental","5","Conjuration","Druid; Wizard","Action","-","Range 18 m / 60 ft","-","-","Bend the barrier between the Planes until they disgorge an elemental ally to follow and fight for you.","https://bg3.wiki/wiki/Conjure_Elemental"
"Contagion","5","Necromancy","Cleric; Druid","Action","-","Range 1.5 m / 5 ft","Attack Roll","-","Poison a target and possibly afflict them with a disease of your choice. Once infected, the target will roll a Constitution Saving Throw each turn. If it accumulates 3 successes, it recovers. If it accumulates 3 failures, it contracts the disease chosen by the spellcaster.","https://bg3.wiki/wiki/Contagion"
"Dispel Evil And Good","5","Abjuration","Cleric","Action","Duration 10 turns","Range Self","-","-","Aberrations [ See: Bugs ], Celestials, Elementals, Fey, Fiends, and Undead have Disadvantage on Attack Roll Attack Rolls against you. You can also break Enchantments that Charm, Frighten, or Possesses allies.","https://bg3.wiki/wiki/Dispel_Evil_And_Good"
"Dominate Person","5","Enchantment","Bard; Sorcerer; Wizard","Action","Duration 10 turns","Range 18 m / 60ft","WIS Save","-","Dominate a nearby humanoid. Allies are unaffected. Every time the creature takes damage, it may repeat the Saving Throw against your domination.","https://bg3.wiki/wiki/Dominate_Person"
"Flame Strike","5","Evocation","Cleric","Action","-","Range 18 m / 60ft Aoe 3m / 10ft (Radius)","DEX Save","5d6 Fire 5d6 Radiant","Make a pillar of divine fire roar down from the heavens like the wrath of affronted angels.","https://bg3.wiki/wiki/Flame_Strike"
"Greater Restoration","5","Abjuration","Bard; Cleric; Druid","Action","-","Range 1.5 m / 5 ft","-","-","Touch a creature and negate any Charm, Petrification, Stun, or Curse.","https://bg3.wiki/wiki/Greater_Restoration"
"Hold Monster","5","Enchantment","Bard; Sorcerer; Warlock; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","WIS Save","-","Paralyse a creature. It can't move, act, or react. Attacks from within 3 m (10 ft) are always critical hits. Prerequisite No effect on undead.","https://bg3.wiki/wiki/Hold_Monster"
"Insect Plague","5","Conjuration","Cleric; Druid; Sorcerer","Action","-","Range 18 m / 60 ft Aoe 6m / 20ft (Radius)","CON Save","4d10 Piercing","Locusts attack everyone within range, make the area Difficult Terrain, and impose Disadvantage on Perception Checks.","https://bg3.wiki/wiki/Insect_Plague"
"Mass Cure Wounds","5","Evocation","Bard; Cleric; Druid","Action","-","Range 18 m / 60 ft","-","3d8 + Spellcasting modifier Healing","Unleash a soothing hum of energy that heals you and nearby allies. Prerequisite No effect on Undead and Constructs","https://bg3.wiki/wiki/Mass_Cure_Wounds"
"Planar Binding","5","Abjuration","Bard; Cleric; Druid; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","WIS Save","-","Target an otherworldly creature and attach its consciousness to your own. It will follow and fight for you as an ally. Prerequisite Target must be a Celestial, Elemental, Fey, or a Fiend.","https://bg3.wiki/wiki/Planar_Binding"
"Seeming","5","Illusion","Bard; Sorcerer; Wizard","Action","Duration Long Rest","Range 18 m / 60 ft","-","-","Disguise up to 4 members of your adventuring party.","https://bg3.wiki/wiki/Seeming"
"Telekinesis","5","Transmutation","Sorcerer; Wizard","Action","Duration 10 turns","Range 18 m / 60ft","STR Save","-","Throw a creature or object up to 18 m (60 ft) with a thought. Once per turn, you can use Telekinesis again without expending a Spell Slot. Heavier items deal more damage.","https://bg3.wiki/wiki/Telekinesis"
"Wall of Stone","5","Evocation","Druid; Sorcerer; Wizard","Action","-","Range 18 m / 60ft","-","-","Raise a wall of non-magical, solid stone. The wall can be created between any two points within range as long as there is a clear path between them. It is made up of Stone Pillars with 30 HP each, immune to Psychic and vulnerable to Force and Thunder damage. Pillars block movement and line of sight.","https://bg3.wiki/wiki/Wall_of_Stone"
"Arcane Gate","6","Conjuration","Sorcerer; Warlock; Wizard","Action","-","Range 18 m / 60 ft","-","-","Create two linked teleportation portals within range. All creatures, including enemies, may travel between the two portals as a free action.","https://bg3.wiki/wiki/Arcane_Gate"
"Blade Barrier","6","Evocation","Cleric","Action","-","Range 18 m / 60ft","DEX Save","6d10 Slashing","Summons a wall of razor-sharp blades that turns the area into Difficult Terrain and damages anyone foolish enough to come close.","https://bg3.wiki/wiki/Blade_Barrier"
"Chain Lightning","6","Evocation","Sorcerer; Wizard","Action","-","Range 18 m / 60ft","DEX Save","10d8 Lightning","Strike an enemy with lightning. Three more bolts will leap from the target, electrifying as many as three other enemies within range.","https://bg3.wiki/wiki/Chain_Lightning"
"Circle of Death","6","Necromancy","Sorcerer; Warlock; Wizard","Action","-","Range 18 m / 60ft Aoe 9m / 30ft (Radius)","CON Save","8d6 Necrotic","Sculpt a massive sphere of entropic energy around a creature. Devastate the target and all surrounding creatures.","https://bg3.wiki/wiki/Circle_of_Death"
"Create Undead","6","Necromancy","Cleric; Warlock; Wizard","Action","-","Range 3 m / 10ft","-","-","Create a corpse as a heinous mummy that fights by your side. Prerequisite The target must be a Medium or Small corpse.","https://bg3.wiki/wiki/Create_Undead"
"Disintegrate","6","Transmutation","Sorcerer; Wizard","Action","-","Range 9 m / 30ft","DEX Save","10d6 + 40 Force","If the target fails a Dexterity Saving Throw, and the spell reduces it to 0 hit points, it disintegrates into a crumbly ash.","https://bg3.wiki/wiki/Disintegrate"
"Eyebite","6","Necromancy","Bard; Sorcerer; Warlock; Wizard","Action","-","Range 18 m / 60ft","WIS Save","-","Your eyes become black corridors walled in teeth, your gaze capable of inflicting dread, sickness, or putting creatures to sleep. While Concentrating, you may cast Eyebite without expending a spell slot.","https://bg3.wiki/wiki/Eyebite"
"Flesh to Stone","6","Transmutation","Warlock; Wizard","Action","Duration 3 turns","Range 18 m / 60ft","CON Save","-","Atrophy a foe, Restraining them until they temporarily turn to stone. The target will Petrify if it does not succeed its Saving Throw within 3 turns. [ See Notes ]","https://bg3.wiki/wiki/Flesh_to_Stone"
"Globe of Invulnerability","6","Abjuration","Sorcerer; Wizard","Action","-","Range 3 m / 10ft Aoe 3m / 10ft (Radius)","-","-","Create a barrier that makes creatures and objects inside it immune to all damage.","https://bg3.wiki/wiki/Globe_of_Invulnerability"
