"feature","description","source_url"
"Flaming Sphere","Flaming Sphere is a level 2 conjuration spell. It allows spellcasters to conjure a Flaming Sphere which can attack and burn enemies.","https://bg3.wiki/wiki/Flaming_Sphere"
"Flurry of Blows: Push","Flurry of Blows: Push is a Way of the Open Hand monk class action. It is an enhanced variant of Flurry of Blows that can potentially push the target away.","https://bg3.wiki/wiki/Flurry_of_Blows%3A_Push"
"Flurry of Blows: Stagger","Flurry of Blows: Stagger is a Way of the Open Hand monk class action. It is an enhanced variant of Flurry of Blows that will stagger the target, preventing it from using Reactions.","https://bg3.wiki/wiki/Flurry_of_Blows%3A_Stagger"
"Flurry of Blows: Topple","Flurry of Blows: Topple is a Way of the Open Hand monk class action. It is an enhanced variant of Flurry of Blows that can potentially knock a target Prone.","https://bg3.wiki/wiki/Flurry_of_Blows%3A_Topple"
"Flurry of Moths","Flurry of Moths is passive feature available to Swarmkeepers. It turns the Gathered Swarm into moths that deal ⁠Psychic damage and can blind enemies. This feature can be switched out at level up.","https://bg3.wiki/wiki/Flurry_of_Moths"
"Fly","Fly may refer to: Fly (bonus action), the class action granted by Helldusk Armour which grants Flight. Fly (class action), the movement action commonly used by flying creatures as well as with the Flight condition. Fly (Dire Raven Companion), the movement action used by the raven animal companion. Fly (Dragons), the movement action used by dragons. Fly (Illithid Power), the movement action used by partial-illithids. Fly (Spiritual Weapon), the movement action used by Spiritual Weapons. Fly (Starry Form), the movement action used by Circle of the Stars druids. See also: Flight, the condition which grants the Fly action. Grant Flight, the transmutation spell that grants flight which is named Fly in the tabletop. Ride the Wind, the monk class action equivalent to the spell. Levitate, the movement action used by full-illithids Tempestuous Magic: Flight, the bonus action used by Storm sorcerers.","https://bg3.wiki/wiki/Fly"
"Focused Conjuration","Focused Conjuration is a Conjuration School Wizard passive feature that prevents the caster from losing concentration on Conjuration spells.","https://bg3.wiki/wiki/Focused_Conjuration"
"Forest","The Forest is a Location within the Wilderness in Act One of Baldur's Gate 3. It is found west of the Emerald Grove and encompasses the entirety of the Blighted Village. “ Nothing like a brisk stroll through the forest to invigorate the spirit <...> And without so much as a stirring from our tadpoles. „ — Gale, bantering with Karlach","https://bg3.wiki/wiki/Forest"
"Freedom of Movement","Freedom of Movement is a level 4 abjuration spell. It allows spellcasters to imbue an ally with the ability to avoid some slowing effects.","https://bg3.wiki/wiki/Freedom_of_Movement"
"Frenzied Strike","Frenzied Strike is a Berserker barbarian bonus action. This ability allows the Berserker to make a melee attack as a bonus action once per turn while frenzied.","https://bg3.wiki/wiki/Frenzied_Strike"
"Frenzy","Frenzy is a Berserker barbarian bonus action that is a variant of Rage. It turns the Berserker's anger into an uncontrollable fury and grants additional abilities in addition to those from Rage. Wearing Heavy Armour triggers the Rage Impeded condition, removing some benefits of Frenzy.","https://bg3.wiki/wiki/Frenzy"
"Fungal Infestation","Fungal Infestation is a action gained by Circle of the Spores druids at level 6 that allows them to raise a Fungal Zombie from a nearby corpse using a resource exclusive to this action.","https://bg3.wiki/wiki/Fungal_Infestation"
"Gaseous Form","Gaseous Form is a level 3 transmutation spell. It allows spellcasters to transform themselves or an ally into a cloud of mist to avoid attacks, reduce size, and gain Advantage on some Saving Throws.","https://bg3.wiki/wiki/Gaseous_Form"
"Giant Killer","Giant Killer is a Hunter ranger passive feature and reaction. This ability allows rangers to retaliate with a melee attack using their reactions when attacked by a large creature.","https://bg3.wiki/wiki/Giant_Killer"
"Giant's Rage","Giant's Rage is a Giant barbarian class action that is a variant of Rage. This ability channels the barbarian's rage towards throwing objects and people. Like other rage abilities, wearing Heavy Armour triggers the Rage Impeded condition, removing some benefits of Giant's Rage.","https://bg3.wiki/wiki/Giant's_Rage"
"Gong of the Summit","Gong of the Summit is an action that allows a Way of the Four Elements monk to cast their equivalent of Shatter by expending Ki Points instead of spell slots.","https://bg3.wiki/wiki/Gong_of_the_Summit"
"Grant Flight","Grant Flight is a level 3 transmutation spell. It allows spellcasters to grant a creature they touch the ability to fly.","https://bg3.wiki/wiki/Grant_Flight"
"Grasping Vine","Grasping Vine is a level 4 conjuration spell. It allows spellcasters to summon a Grasping Vine which can pull enemies toward itself.","https://bg3.wiki/wiki/Grasping_Vine"
"Grassland","Grassland is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels","https://bg3.wiki/wiki/Grassland"
"Greater Invisibility","Greater Invisibility is a level 4 illusion spell. It allows spellcasters to provide a more resilient form of Invisibility for their allies.","https://bg3.wiki/wiki/Greater_Invisibility"
"Greater Restoration","Greater Restoration is a level 5 abjuration spell. It allows spellcasters to removes any kind of charm, petrification, stun, or curse effect from a creature.","https://bg3.wiki/wiki/Greater_Restoration"
"Grim Harvest","Grim Harvest is a Necromancy School Wizard passive feature. It allows the caster to regain hit points every time they kill a creature with a spell. The amount regained is based on the spell slot level used, and is increased if a Necromancy spell is used.","https://bg3.wiki/wiki/Grim_Harvest"
"Guardian of Faith","Guardian of Faith is a level 4 conjuration spell. It allows spellcasters to summon a divine guardian which sacrifices its Hit Points to damage enemies.","https://bg3.wiki/wiki/Guardian_of_Faith"
"Guidance","Guidance is a cantrip (Divination). This cantrip allows spellcasters to grant a temporary bonus to a creature's ability checks.","https://bg3.wiki/wiki/Guidance"
"Guided Strike","Guided Strike is a Channel Divinity reaction available to War Domain clerics. This ability allows these clerics to apply a +10 bonus to their missed Attack Rolls, potentially turning them into hits. War Domain clerics additionally get War God's Blessing at a later level which applies the same effect to attacks by allies.","https://bg3.wiki/wiki/Guided_Strike"
"Guiding Bolt","Guiding Bolt is a level 1 evocation spell. It allows spellcasters to hit enemies with a bolt that deals ⁠Radiant damage and grants advantage to the next attack roll made against them.","https://bg3.wiki/wiki/Guiding_Bolt"
"Gust of Wind","Gust of Wind is a level 2 evocation spell. It allows spellcasters to conjure a squall to clear dangerous gasses or throw creatures back, potentially causing a dangerous fall.","https://bg3.wiki/wiki/Gust_of_Wind"
"Halo of Spores","Halo of Spores is a Circle of the Spores druid class action. It releases spores that deal necrotic damage to a nearby target.","https://bg3.wiki/wiki/Halo_of_Spores"
"Harmony of Fire and Water","Harmony of Fire and Water is a class action that allows the Way of the Four Elements Monk to recover half of their max Ki Points outside of combat, but can only be used once per long rest.","https://bg3.wiki/wiki/Harmony_of_Fire_and_Water"
"Haste","Haste is a level 3 transmutation spell. It allows spellcasters to allow their allies to become Hastened.","https://bg3.wiki/wiki/Haste"
"Healing Radiance","Healing Radiance is a Channel Oath bonus action available to Oath of the Ancients paladins. This ability allows these paladins to channel their oath to heal allies in an area over the course of 1 round.","https://bg3.wiki/wiki/Healing_Radiance"
"Heart of the Storm: Lightning","Heart of the Storm: Lightning is a Storm Sorcery Sorcerer free reaction, part of Heart of the Storm, that creates a storm that deals half your Sorcerer level, rounded down, when you cast a lightning spell.","https://bg3.wiki/wiki/Heart_of_the_Storm%3A_Lightning"
"Heart of the Storm: Resistance","Heart of the Storm: Resistance is a Storm Sorcery Sorcerer passive that gives you resistance to both Lightning and Thunder damage.","https://bg3.wiki/wiki/Heart_of_the_Storm%3A_Resistance"
"Heart of the Storm: Thunder","Heart of the Storm: Thunder is a free Storm Sorcery Sorcerer class reaction, part of Heart of the Storm, that creates a storm that deals half your Sorcerer level, rounded down, when you cast a thunder spell.","https://bg3.wiki/wiki/Heart_of_the_Storm%3A_Thunder"
"Hellish Rebuke","Hellish Rebuke is a level 1 evocation spell. It allows spellcasters to surround a creature in hellfire that deals ⁠Fire damage as a Reaction when taking damage from them.","https://bg3.wiki/wiki/Hellish_Rebuke"
"Hex Warrior","Hex Warrior is a passive feature granted to The Hexblade warlocks at level 1.","https://bg3.wiki/wiki/Hex_Warrior"
"Hexblade's Curse","Hexblade's Curse is a class action available to The Hexblade warlocks that allows them to curse targets.","https://bg3.wiki/wiki/Hexblade's_Curse"
"Hold Monster","Hold Monster is a level 5 enchantment spell. It allows spellcasters to Paralyse a creature, preventing them from acting and making them vulnerable to attacks.","https://bg3.wiki/wiki/Hold_Monster"
"Hold Person","Hold Person is a level 2 enchantment spell. It allows spellcasters to hold a target humanoid in place. The affected creature is unable to move or act and is more susceptible to attacks.","https://bg3.wiki/wiki/Hold_Person"
"Holy Rebuke","Holy Rebuke is a Channel Oath action available to Oath of Devotion paladins. This ability allows these paladins to grant a target a vengeful aura that damages the attacker each time the target is hit in melee.","https://bg3.wiki/wiki/Holy_Rebuke"
"Horde Breaker","Horde Breaker is a Hunter Ranger passive feature that grants you the ability to target two creatures next to each other.","https://bg3.wiki/wiki/Horde_Breaker"
"Hound of Ill Omen","Hound of Ill Omen is a Shadow Magic sorcerer class action which allows them to summon Nimbus, a shadow mastiff.","https://bg3.wiki/wiki/Hound_of_Ill_Omen"
"Hunter's Mark","Hunter's Mark is a level 1 divination spell. It allows spellcasters to mark a creature as their prey and deal additional ⁠Weapon damage to the targeted creature.","https://bg3.wiki/wiki/Hunter's_Mark"
"Hypnotic Gaze","Hypnotic Gaze is an Enchantment School wizard class action which hypnotises a creature, rendering it entirely incapacitated for a brief period. Additional actions can be spent to maintain this effect.","https://bg3.wiki/wiki/Hypnotic_Gaze"
"Hypnotic Pattern","Hypnotic Pattern is a level 3 illusion spell. It allows spellcasters to hypnotise all creatures within an area.","https://bg3.wiki/wiki/Hypnotic_Pattern"
"Ice Storm","Ice Storm is a level 4 evocation spell. It allows spellcasters to summon an ice storm to strike an area.","https://bg3.wiki/wiki/Ice_Storm"
"Illusory Self","Illusory Self is an Illusion School wizard passive feature and reaction that lets a character substitute a duplicate image of themselves when receiving an attack, causing the attacker to miss.","https://bg3.wiki/wiki/Illusory_Self"
"Improved Abjuration","Improved Abjuration is a passive feature of the Abjuration School Wizard. When you take a Short Rest, you can boost your Arcane Ward charges by your wizard level.","https://bg3.wiki/wiki/Improved_Abjuration"
"Improved Combat Superiority","Improved Combat Superiority is a Battle Master Fighter passive feature that increases the strength of their Maneuvers.","https://bg3.wiki/wiki/Improved_Combat_Superiority"
"Improved Critical Hit","Improved Critical Hit is a Champion Fighter passive feature that reduces the number they need to roll for a critical hit by 1.","https://bg3.wiki/wiki/Improved_Critical_Hit"
"Improved Divine Smite","Improved Divine Smite is a passive feature available to Paladins that adds extra damage to all of their weapon strikes. This damage stacks with all other sources.","https://bg3.wiki/wiki/Improved_Divine_Smite"
"Improved Elemental Casting","Improved Elemental Casting is a Way of the Four Elements Monk passive feature that improves the strength and damage of your Four Elements Spells.","https://bg3.wiki/wiki/Improved_Elemental_Casting"
"Improved Extra Attack","Improved Extra Attack is a Fighter passive feature that allows you to make 2 additional attacks when making an Attack Action.","https://bg3.wiki/wiki/Improved_Extra_Attack"
"Improved Minor Illusion","Improved Minor Illusion is a cantrip (Illusion). It is an upgraded version of Minor Illusion available to Illusion School wizards which only costs a Bonus Action.","https://bg3.wiki/wiki/Improved_Minor_Illusion"
"Improved Warding Flare","Improved Warding Flare is a Light Domain cleric reaction that complements Warding Flare to give these clerics the option to protect allies instead of themselves.","https://bg3.wiki/wiki/Improved_Warding_Flare"
"Indomitable","Indomitable is a Fighter passive feature/reaction that lets you reroll a failed Saving Throw. It is a free action, and therefore does not consume your Reaction when used.","https://bg3.wiki/wiki/Indomitable"
"Inescapable Destruction","Inescapable Destruction is a Death Domain cleric passive feature. It allows ⁠Necrotic dealt by the cleric to bypass Resistance to ⁠Necrotic damage.","https://bg3.wiki/wiki/Inescapable_Destruction"
"Infiltration Expertise","Infiltration Expertise is a class action that lets Assassin Rogues adopt the identity of a male or female of any humanoid race, though the type is selected the actual appearance is random. It is similar to the spell Disguise Self.","https://bg3.wiki/wiki/Infiltration_Expertise"
"Inflict Wounds","Inflict Wounds is a level 1 necromancy spell. It allows the spellcaster to make a melee attack which inflicts Necrotic damage.","https://bg3.wiki/wiki/Inflict_Wounds"
"Inquisitor's Might","Inquisitor's Might is a bonus action available to Oath of Vengeance paladins. This ability allows these paladins to grant a 2 turn single-target buff which causes their or their allies' weapon attacks to deal an additional ⁠Radiant damage and Daze enemies for 1 turn.","https://bg3.wiki/wiki/Inquisitor's_Might"
"Insect Plague","Insect Plague is a level 5 conjuration spell. It allows spellcasters to create a damaging, debilitating swarm of insects over a section of the battlefield.","https://bg3.wiki/wiki/Insect_Plague"
"Instinctive Charm","Instinctive Charm is an Enchantment School wizard passive feature and reaction that charms an attacker, interrupting and preventing the attack. If the target succeeds the Wisdom Saving Throw, it cannot be affected again until after a Long Rest.","https://bg3.wiki/wiki/Instinctive_Charm"
"Intimidating Presence","Intimidating Presence is a Berserker barbarian class action. This ability allows the barbarian instil fear into a enemy.","https://bg3.wiki/wiki/Intimidating_Presence"
"Intoxicating Strike","Intoxicating Strike is a Way of the Drunken Master monk class action. It allows a monk to intoxicate enemies on failed Constitution Saving Throws.","https://bg3.wiki/wiki/Intoxicating_Strike"
"Inured to Undeath","Inured to Undeath is a Necromancy School Wizard passive feature that enhances your mastery over death. You become resistant to Necrotic damage and cannot have your maximum hit points reduced.","https://bg3.wiki/wiki/Inured_to_Undeath"
"Invisibility","Invisibility commonly refers to: Invisibility (spell), the level 2 illusion spell Invisible (Condition), the condition granted by many abilities Invisibility may also refer to: Greater Invisibility, the stronger level 4 illusion spell Greater Invisibility (Condition), the condition granted by Greater Invisibility Invisibility (Air Myrmidon), the class action used by Air Myrmidons Invisibility (class action), the class action used by Yurgir Invisibility (Duergar), the racial class action available to Duergar Invisibility (Imp), the class action used by Imps Invisibility (Quasit), the class action used by the Quasit familiar Potion of Invisibility, a consummable item that grants invisibility See Invisibility (class action), the level 6 Illusion School Wizard class action See Invisibility (Condition), the condition See Invisibility (spell), the level 2 divination spell Scroll of Invisibility, a scroll that casts the spell Third Eye: See Invisibility, the level 10 Divination School Wizard class action","https://bg3.wiki/wiki/Invisibility_(disambiguation)"
"Invoke Duplicity","Invoke Duplicity is a Channel Divinity action available to Trickery Domain clerics which allows them to summon illusory duplicates of themselves. These illusions distract adjacent enemies giving allies advantage on attacks against them. Enemies may even target the illusions, wasting their actions.","https://bg3.wiki/wiki/Invoke_Duplicity"
"Iron Mind","Iron Mind is a Gloom Stalker Ranger passive feature that increases your defenses against certain mental attacks.","https://bg3.wiki/wiki/Iron_Mind"
"Ki Resonation: Blast","Ki Resonation: Blast is a Way of the Open Hand monk free action that allows to detonate the ki in anyone resonating with the monk. The explosion hits the creature and all creatures other than party members and summoned creatures nearby. Any additional targets hit by the explosion that are also resonating create additional explosions in a chain reaction.","https://bg3.wiki/wiki/Ki_Resonation%3A_Blast"
"Ki Resonation: Punch","Ki Resonation: Punch is a Way of the Open Hand monk class action that allows you to punch a target, activating the Ki within them. You can then detonate this Ki to cause an explosion.","https://bg3.wiki/wiki/Ki_Resonation%3A_Punch"
"Ki Resonation: Punch (bonus action)","Ki Resonation: Punch (Bonus Action) is a Way of the Open Hand monk bonus action that allows you to punch a target, activating the ki within them. You can then detonate this ki to cause an explosion.","https://bg3.wiki/wiki/Ki_Resonation%3A_Punch_(Bonus_Action)"
"Knowledge of the Ages","Knowledge of the Ages is a Channel Divinity action available to Knowledge Domain clerics. It allows these clerics to channel divine power, gaining proficiency in all skills of a chosen ability score.","https://bg3.wiki/wiki/Knowledge_of_the_Ages"
"Land's Stride: Difficult Terrain","Land's Stride: Difficult Terrain is a passive feature that makes it so that you are not slowed when traversing Difficult Terrain. It is the visible component of Land's Stride which includes additional hidden passives.","https://bg3.wiki/wiki/Land's_Stride%3A_Difficult_Terrain"
"Leap to Your Feet","Leap to Your Feet is a Way of the Drunken Master monk passive feature that helps them get up quicker from being prone.","https://bg3.wiki/wiki/Leap_to_Your_Feet"
"Legion of Bees","Legion of Bees is passive feature available to Swarmkeepers. It turns the Gathered Swarm into bees that deal ⁠Piercing damage and can push enemies away. This feature can be switched out at level up.","https://bg3.wiki/wiki/Legion_of_Bees"
"Lesser Restoration","Lesser Restoration is a level 2 abjuration spell. It allows the spellcaster to cure an adjacent creature.","https://bg3.wiki/wiki/Lesser_Restoration"
"Life of the Party","Life of the Party is a Way of the Drunken Master monk passive feature that grants bonuses against Drunk targets.","https://bg3.wiki/wiki/Life_of_the_Party"
"Light","Light is a cantrip (Evocation). It makes an object shed light in a small area.","https://bg3.wiki/wiki/Light"
"Lightning Bolt","Lightning Bolt is a level 3 evocation spell. It allows spellcasters to discharge a bolt of lightning in any direction, potentially hitting multiple creatures.","https://bg3.wiki/wiki/Lightning_Bolt"
"Lunar Mend","Lunar Mend is a Circle of the Moon druid bonus action. It allows wild shaped Moon druids to expend spell slots to heal themselves.","https://bg3.wiki/wiki/Lunar_Mend"
"Mage Hand","Mage Hand is a cantrip (Conjuration). It conjures a spectral hand that can interact with objects.","https://bg3.wiki/wiki/Mage_Hand"
"Mage Hand Legerdemain","Mage Hand Legerdemain is an Arcane Trickster Rogue passive feature. This ability enhances your Mage Hand, allowing it to remain permanently and granting it invisibility.","https://bg3.wiki/wiki/Mage_Hand_Legerdemain"
"Magic Arrow","Magic Arrow is an Arcane Archer fighter passive feature that makes their arrows considered magical.","https://bg3.wiki/wiki/Magic_Arrow"
"Magic Awareness","Magic Awareness is a Wild Magic Barbarian bonus action which gives a brief bonus to saving throws for barbarian and nearby creatures.","https://bg3.wiki/wiki/Magic_Awareness"
"Magic Weapon","Magic Weapon is a level 2 transmutation spell. It allows spellcasters to infuse a weapon with arcane energy, making it magical.","https://bg3.wiki/wiki/Magic_Weapon"
"Magical Ambush","Magical Ambush is a togglable passive gained by Arcane Tricksters at Level 9. Magical Ambush allows the Rogue to circumvent their target's defenses when casting spells while hidden.","https://bg3.wiki/wiki/Magical_Ambush"
"Magical Secrets","Magical Secrets is a level 6 College of Lore, and level 10 base Bard class feature in which they learn 2 Spells from a set belonging to other classes.","https://bg3.wiki/wiki/Magical_Secrets"
"Manifestation of Body","Manifestation of Body is a togglable passive feature unique to Way of the Open Hand Monks at Level 6, that adds extra ⁠Necrotic damage based on your Wisdom Modifier to unarmed attacks.","https://bg3.wiki/wiki/Manifestation_of_Body"
"Manifestation of Mind","Manifestation of Mind is a togglable passive feature unique to Way of the Open Hand Monks at Level 6, that adds extra ⁠Psychic damage based on your Wisdom Modifier to unarmed attacks.","https://bg3.wiki/wiki/Manifestation_of_Mind"
"Manifestation of Soul","Manifestation of Soul is a togglable passive feature unique to Way of the Open Hand Monks at Level 6, that adds extra ⁠Radiant damage based on your Wisdom Modifier to unarmed attacks.","https://bg3.wiki/wiki/Manifestation_of_Soul"
"Mantle of Inspiration","Mantle of Inspiration is a College of Glamour bard class action that protects allies with a mantle that charms enemies that hit them.","https://bg3.wiki/wiki/Mantle_of_Inspiration"
"Mantle of Majesty: Command","Mantle of Majesty: Command is a College of Glamour bard class action that commands enemies using a bonus action. It can be used repeatedly for 10 turns or until concentration is broken.","https://bg3.wiki/wiki/Mantle_of_Majesty%3A_Command"
"Mass Cure Wounds","Mass Cure Wounds is a level 5 evocation spell. It allows spellcasters to heal several of their allies.","https://bg3.wiki/wiki/Mass_Cure_Wounds"
"Melf's Acid Arrow","Melf's Acid Arrow is a level 2 evocation spell. It allows spellcasters to shoot a magical arrow that deals Acid damage to a target on impact and at the end of its next turn.","https://bg3.wiki/wiki/Melf's_Acid_Arrow"
"Metamagic","Metamagic is a Sorcerer class feature that allows the user to add additional effects to magic spells in exchange for Sorcery Points. When a metamagic passive is toggled on, affected spells will get a white glow and the Sorcery Points will be added to the spell cost. Two metamagic types are chosen at level 2, with one additional metamagic chosen at levels 3 and 10. Sorcery Points are regained after a Long Rest.","https://bg3.wiki/wiki/Metamagic"
"Mighty Impel","Mighty Impel is a Giant barbarian class action that allows them to throw creatures or objects.","https://bg3.wiki/wiki/Mighty_Impel"
"Mighty Swarm","Mighty Swarm is a Swarmkeeper ranger passive feature that increases the power of their swarm.","https://bg3.wiki/wiki/Mighty_Swarm"
"Mindless Rage","Mindless Rage is a Berserker Barbarian passive feature. While raging, these barbarians cannot be Charmed or Frightened.","https://bg3.wiki/wiki/Mindless_Rage"
"Minor Conjuration: Create Water","This spell is a special class version of Create or Destroy Water that also allows the Conjuration School wizard to conjure an area of water once per short rest. This action is equivalent to the level 1 version, but does not consume spell slots and cannot be upcasted.","https://bg3.wiki/wiki/Minor_Conjuration%3A_Create_Water"
"Minor Illusion","Minor Illusion is a cantrip (Illusion). It conjures a simple illusion to distract and / or lure creatures.","https://bg3.wiki/wiki/Minor_Illusion"
"Mirror Image","Mirror Image is a level 2 illusion spell. It allows spellcasters to create 3 illusory duplicates of themselves to distract attackers.","https://bg3.wiki/wiki/Mirror_Image"
"Mist Stance","Mist Stance is a class action that allows the Way of the Four Elements monk to cast the equivalent of the level 3 Wizard spell Gaseous Form that can only affect the caster.","https://bg3.wiki/wiki/Mist_Stance"
"Misty Escape","Misty Escape is an Archfey warlock passive feature/reaction that allows the warlock to become invisible upon taking damage.","https://bg3.wiki/wiki/Misty_Escape"
"Misty Step","Misty Step is a level 2 conjuration spell. It allows spellcasters to teleport themselves to an unoccupied space they can see.","https://bg3.wiki/wiki/Misty_Step"
"Mobile Flourish (Melee)","Mobile Flourish (Melee) is a College of Swords Bard weapon action. This flourish manoeuvre allows the Bard to use a Bardic Inspiration to deal extra damage to a target with a melee weapon, sending them flying backwards. Afterwards, you can teleport next to them.","https://bg3.wiki/wiki/Mobile_Flourish_(Melee)"
"Mobile Flourish (Ranged)","Mobile Flourish (Ranged) is a College of Swords Bard weapon action. This flourish manoeuvre allows the Bard to use a Bardic Inspiration to deal extra damage to a target with a ranged weapon, sending them flying backwards. Afterwards, you can teleport next to them.","https://bg3.wiki/wiki/Mobile_Flourish_(Ranged)"
"Moonbeam","Moonbeam is a level 2 evocation spell. It allows spellcasters to call down a beam of moonlight which deals Radiant damage to any creature that enters the beam or starts its turn there.","https://bg3.wiki/wiki/Moonbeam"
"Mortal Reminder","Mortal Reminder is a passive feature unique to The Great Old One Warlock subclass that Frightens creatures upon a critical hit.","https://bg3.wiki/wiki/Mortal_Reminder"
"Mountain","Mountain is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels","https://bg3.wiki/wiki/Mountain"
"Multiattack Defence","Multiattack Defence is a Hunter Ranger passive feature which strengthens its user's defenses against enemies that attack them more than once per turn.","https://bg3.wiki/wiki/Multiattack_Defence"
"Mystic Arcanum (6th level spell)","Mystic Arcanum is a level 11 Warlock class feature in which they learn one 6th Level spell. You can cast this spell once per Long Rest, and it does not expend a spell slot.","https://bg3.wiki/wiki/Mystic_Arcanum"
"Natural Recovery","Natural Recovery is a Circle of the Land druid class action. This ability allows these druids to replenish a number of spell slots each long rest.","https://bg3.wiki/wiki/Natural_Recovery"
"Nature's Ward","Nature's Ward is a Circle of the Land Druid passive feature that grants immunity to Charm and Frighten effects from elementals and fey creatures. The Druid also becomes immune to Disease and Poison.","https://bg3.wiki/wiki/Nature's_Ward"
"Nature's Wrath","Nature's Wrath is a Channel Oath action available to Oath of the Ancients paladins. This ability allows the paladin to root an enemy in place, leaving their guard open to attacks.","https://bg3.wiki/wiki/Nature's_Wrath"
"Otiluke's Resilient Sphere","Otiluke's Resilient Sphere is a level 4 evocation spell. It surrounds a target in an impenetrable protective sphere which blocks everything from coming in or out of the sphere. The encased creature is rendered completely invulnerable to outside attacks or spells, but conversely is blocked from attacking or targeting anything outside the sphere.","https://bg3.wiki/wiki/Otiluke's_Resilient_Sphere"
"Pact Boon","Pact Boon is a passive feature that grants you abilities depending on your choice of Boon.","https://bg3.wiki/wiki/Pact_Boon"
"Panache","Panache is a class action available to Swashbuckler rogues.","https://bg3.wiki/wiki/Panache"
"Pass Without Trace","Pass Without Trace is a level 2 abjuration spell. It allows spellcasters to grant themselves and nearby allies a bonus to Stealth Checks.","https://bg3.wiki/wiki/Pass_Without_Trace"
"Phantasmal Force","Phantasmal Force is a level 2 illusion spell. It allows spellcasters to flood a target creature's mind with an illusion of the last thing that attacked it, dealing 1d6⁠⁠Psychic damage per turn, changing to the last type of damage inflicted upon the target.","https://bg3.wiki/wiki/Phantasmal_Force"
"Phantasmal Killer","Phantasmal Killer is a level 4 illusion spell. It allows spellcasters to temporarily haunt a creatures mind with illusions, dealing damage, preventing movement, and imposing Disadvantage on Ability Checks and Attack Rolls.","https://bg3.wiki/wiki/Phantasmal_Killer"
"Plant Growth","Plant Growth is a level 3 transmutation spell. It allows spellcasters to cause an area to expel weeds from the ground, quartering the movement speed of all creatures travelling through the area.","https://bg3.wiki/wiki/Plant_Growth"
"Poison Spray","Poison Spray is a cantrip (Conjuration). It allows spellcasters to deal ⁠Poison damage to a target.","https://bg3.wiki/wiki/Poison_Spray"
"Polymorph","Polymorph is a level 4 transmutation spell. It transforms a creature into a sheep.","https://bg3.wiki/wiki/Polymorph"
"Portent","Portent is a Divination School Wizard passive feature which offers the user glimpses into the future. They gain two random Portent Dice which they can use as a Reaction to substitute into Attack Rolls and Saving Throws rolled in range.","https://bg3.wiki/wiki/Portent"
"Potent Cantrip","Potent Cantrip is an Evocation School Wizard passive feature increases the reliability of your damaging Cantrips such that even a miss hurts your target.","https://bg3.wiki/wiki/Potent_Cantrip"
"Potent Spellcasting","Potent Spellcasting is a Light Domain and Knowledge Domain Cleric passive feature that adds the Cleric's Wisdom Modifier to the damage of Cleric Cantrips.","https://bg3.wiki/wiki/Potent_Spellcasting"
"Preserve Life","Preserve Life is a Channel Divinity action available to Life Domain clerics. This ability allows these clerics to heal their allies.","https://bg3.wiki/wiki/Preserve_Life"
"Prey's Scent","Prey's Scent is a passive feature only found on Beast Master Hunter's Summon Companion.","https://bg3.wiki/wiki/Prey's_Scent"
"Primal Strike","Primal Strike is a Circle of the Moon Druid passive feature that makes their beast form attacks count as magical damage.","https://bg3.wiki/wiki/Primal_Strike"
"Produce Flame","Produce Flame is a cantrip (Conjuration). It creates a blue flame in the caster's palm which emanates light and can be thrown at enemies.","https://bg3.wiki/wiki/Produce_Flame"
"Projected Ward","Projected Ward is a reaction feature of the Abjuration School wizard. When a nearby ally takes damage, you can use an Arcane Ward charge to reduce the damage.","https://bg3.wiki/wiki/Projected_Ward"
"Protection from Energy","Protection from Energy is a level 3 abjuration spell. It allows spellcasters to grant a creature they touch Resistance to an element of their choice.","https://bg3.wiki/wiki/Protection_from_Energy"
"Protection from Evil and Good","Protection from Evil and Good is a level 1 abjuration spell. It allows spellcasters to surround themselves with magical protection against Aberrations, Celestials, Elementals, Fey, Fiends, and Undead.","https://bg3.wiki/wiki/Protection_from_Evil_and_Good"
"Radiance of the Dawn","Radiance of the Dawn is a Channel Divinity action available to Light Domain clerics. This ability allows these clerics to channel divine power and deal radiant damage to all nearby enemies.","https://bg3.wiki/wiki/Radiance_of_the_Dawn"
"Rage","Rage is a Barbarian bonus action and class feature. Enter a Rage to gain resistance against physical damage, deal extra melee and thrown damage, and Advantage on Strength checks and Saving Throws. Wearing heavy armour imposes the Rage Impeded condition, removing most benefits of Rage.","https://bg3.wiki/wiki/Rage"
"Rage: Wild Magic","Rage: Wild Magic is a Wild Magic Barbarian bonus action. It replaces normal Rage and triggers a random magical effect when entering the rage.","https://bg3.wiki/wiki/Rage%3A_Wild_Magic"
"Rakish Audacity","Rakish Audacity is a passive feature available to Swashbuckler rogues which grants a scaling bonus to initiative and relaxes some of the requirements for triggering Sneak Attack.","https://bg3.wiki/wiki/Rakish_Audacity"
"Rakish Sneak Attack (Melee)","Rakish Sneak Attack (Melee) is a Swashbuckler rogue weapon action which replaces normal Sneak Attack. This ability allows the rogue to exploit an enemy's distraction and deal extra damage to their vulnerable spots with melee weapons. The weapon must have the Finesse property, but can still utilise Strength if it is higher than Dexterity.","https://bg3.wiki/wiki/Rakish_Sneak_Attack_(Melee)"
