"rarity","item","proficiency","weight_kg","price_gp","special","where_to_find","source_url"
"Rare","Ring of Protection","None","0.05","70","Armour Class +1; Saving Throw +1","Tiefling Hideout X: 84 Y: 73: Rewarded by Mol for completing the quest Steal the Sacred Idol in the Emerald Grove; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Rare","Ring of Truthfulness","None","0.05","70","Ring of Veracity; You gain an Advantage on Insight Checks.","Abandoned Windmill X: 44 Y: -38: Worn by the newborn Mind Flayer hiding in the basement; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Rare","Ring of Twilight","None","0.05","70","Treader by Twilight; You gain a +1 bonus to Armour Class while obscured.","Ruined Battlefield X: -34 Y: -12: In a traveller's chest hidden behind some pots inside a ruined tower","https://bg3.wiki/wiki/Rings"
"Rare","Risky Ring","None","0.05","190","Risky Attack; You gain Advantage on Attack rolls and receive Disadvantage on Saving throws.","Moonrise Towers X: -128 Y: -193: Sold by Araj Oblodra on the main floor; Lower City X: -92 Y: -78: Sold by Araj Oblodra in Crimson Draughts if not acquired from her in Act Two; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Rare","Shifting Corpus Ring","None","0.05","70","Invisibility; Cast as a level 2 spell ( Recharge: Long rest.); Blur; Cast as a level 2 spell ( Recharge: Long rest.)","Last Light Inn X: -63 Y: 163: Worn by Fist Marcus; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Rare","Till Death Do Us Part","None","0.05","70","Beacon of Hope; Cast as a level 3 spell ( Recharge: Long rest.)","Lady Jannath's Estate X: -250 Y: -44: Given by Lady Jannath","https://bg3.wiki/wiki/Rings"
"Rare","True Love's Caress","None","0.05","70","Fond Caress; One of a magical pair of rings, this allows the wearer to receive Warding Bond from a creature wearing the matching ring.","Reithwin Graveyard X: -147 Y: 43: On a skeleton leaning up against a tombstone on the road between the House of Healing and Mason's Guild","https://bg3.wiki/wiki/Rings"
"Rare","True Love's Embrace","None","0.05","70","Intimate Embrace; One of a magical pair of rings, this allows the wearer to cast Warding Bond once per Long Rest on a creature wearing the matching ring.","House of Healing X: -212 Y: 0: On a skeleton laying on a mattress on the ground","https://bg3.wiki/wiki/Rings"
"Very rare","Burnished Ring","None","0.05","360","Paralyzing Ray; Cast as a level 3 spell ( Recharge: Long rest.)","House of Hope X: -6481 Y: 2921: Carried by Spectator in Hope's prison; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Very rare","Crypt Lord Ring","None","0.05","1000","Create Undead; Cast as a level 6 spell ( Recharge: Long rest.)","Philgrave's Mansion X: 14 Y: -160: Rewarded for completion of the quest Find Mystic Carrion's Servant, if Thrumbo survives","https://bg3.wiki/wiki/Rings"
"Very rare","Killer's Sweetheart","None","0.05","140","Executioner; When you kill a creature, your next Attack roll will be a Critical Hit. Once spent, this effect refreshes after a Long Rest.","Gauntlet of Shar X: -833 Y: -729: On the ground where the shadow copy appearing next to the Brazier is defeated in the Self-Same Trial","https://bg3.wiki/wiki/Rings"
"Very rare","Orphic Ring","None","0.05","360","Confusion; Cast as a level 5 spell ( Recharge: Long rest.)","Astral Plane X: 53 Y: 3238: Worn by Orpheus; Spotted an issue with this page? Leave a comment! Note that your IP address will be publicly logged unless you create an account. You can also edit the page to fix the issue. See How to Contribute to get started, and maybe join our Discord so we can coordinate our efforts.","https://bg3.wiki/wiki/Rings"
"Very rare","Ring of Evasion","None","0.05","140","Dextrous Evasion; When you fail a Dexterity Saving Throw, you can use your Reaction to succeed instead.","Campsite (Act One): Given by Tara during the first Long Rest following the completion of the Escape the Nautiloid quest (only if Gale is chosen as Origin)","https://bg3.wiki/wiki/Rings"
"Very rare","Ring of Feywild Sparks","None","0.05","140","You gain a +1 bonus to Spell Save DC.[See: Bugs]; Feywild Sparks; While your sorcerous Tides of Chaos feature is active, you will always trigger Wild Magic when casting spells.","The Blushing Mermaid X: -2329 Y: -95: Carried by Auntie Ethel","https://bg3.wiki/wiki/Rings"
"Very rare","Ring of Regeneration","None","0.05","360","Combat Regeneration; At the beginning of your turn, the ring activates and heals you 1d4 hit points.","Act Three: If Rolan is dead: Sold by Lorroakan's Projection in Sorcerous Sundries; If Rolan and Lorroakan are both alive: Sold by Rolan in Sorcerous Sundries; If Rolan is alive but Lorroakan is dead: Carried by Rolan in Ramazith's Tower shortly after Lorroakan is killed (may disappear from Rolan's inventory later); If both Rolan and Lorroakan are dead or missing: Ring is unavailable","https://bg3.wiki/wiki/Rings"
"Story Item","Guiding Light","None","0.05","40","Light; Cast as a cantrip at will.","Arcane Tower X: -26 Y: -283: Carried by Bernard at the top floor","https://bg3.wiki/wiki/Rings"
"Story Item","Guild Ring","None","0.05","40","","Carried by Tusgront in the Lower City at X: 58 Y: -102; In a locked wooden chest ( DC 15 Sleight of Hand Check) in the Lower City at X: 58 Y: -102; In the basement of the same house, in a trapped chest ( DC 15 Sleight of Hand Check) hidden behind a pressure-plate activated false wall at X: -2325 Y: 1056","https://bg3.wiki/wiki/Rings"
"Story Item","Szarr Family Ring","None","0.05","20","","Carried by Godey on the lowest floor of the Szarr Palace in the kennels; Carried by Cazador","https://bg3.wiki/wiki/Rings"
